GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.elasticsearch.wrappers,RawTextESHighlight,11,0,0,0,4,0,3,0,3,0
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.elasticsearch.wrappers,RawTextESHits,17,0,0,0,7,0,5,0,5,0
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.elasticsearch.wrappers,RawTextESTotal,10,0,0,0,4,0,3,0,3,0
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.elasticsearch.wrappers,RawTextESWrapper,10,0,0,0,4,0,3,0,3,0
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.elasticsearch.wrappers,RawTextESHit,18,0,0,0,7,0,5,0,5,0
memex-spring-data-test,com.matthewjohnson42.memex.data.repository.elasticsearch,RawTextESRestTemplate,281,0,12,0,43,0,12,0,6,0
memex-spring-data-test,com.matthewjohnson42.memex.data.repository.elasticsearch,ElasticRestTemplate,188,0,8,0,31,0,7,0,3,0
memex-spring-data-test,com.matthewjohnson42.memex.data.entity,Entity,0,30,0,0,0,11,0,6,0,6
memex-spring-data-test,com.matthewjohnson42.memex.data.config,RawTextElasticConfiguration,14,0,0,0,5,0,3,0,3,0
memex-spring-data-test,com.matthewjohnson42.memex.data.config,AbstractElasticConfiguration,55,0,0,0,13,0,5,0,5,0
memex-spring-data-test,com.matthewjohnson42.memex.data.config,MongoConfiguration,43,0,0,0,9,0,4,0,4,0
memex-spring-data-test,com.matthewjohnson42.memex.data.converter,RawTextESConverter,49,0,4,0,11,0,7,0,5,0
memex-spring-data-test,com.matthewjohnson42.memex.data.converter,DtoEntityConverter,36,0,8,0,10,0,6,0,2,0
memex-spring-data-test,com.matthewjohnson42.memex.data.converter,RawTextMongoConverter,49,0,4,0,11,0,7,0,5,0
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.elasticsearch,RawTextESComposite,0,23,0,0,0,9,0,5,0,5
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.elasticsearch,RawTextES,0,31,0,0,0,11,0,6,0,6
memex-spring-data-test,com.matthewjohnson42.memex.data.entity.mongo,RawTextMongo,0,31,0,0,0,11,0,6,0,6
memex-spring-data-test,com.matthewjohnson42.memex.data.dto,DtoForEntity,0,30,0,0,0,11,0,6,0,6
memex-spring-data-test,com.matthewjohnson42.memex.data.dto,RawTextDto,0,37,0,0,0,14,0,7,0,7
memex-spring-data-test,com.matthewjohnson42.memex.data.service,DataService,188,0,4,0,39,0,13,0,11,0
